pid,survey.date,content,energy,lonely,refreshed,restful,sad,sleep,stress
181my5xb,2019-02-16,2.0,3.0,0.0,3.0,3.0,0.0,8.0,2.0
181my5xb,2019-02-17,3.0,3.0,0.0,2.0,2.0,0.0,5.0,2.0
181my5xb,2019-02-18,2.0,3.0,0.0,1.0,2.0,0.0,4.0,2.0
181my5xb,2019-02-19,2.0,3.0,0.0,2.0,2.0,0.0,5.0,2.0
181my5xb,2019-02-20,2.0,3.0,0.0,2.0,2.0,0.0,4.0,2.0
181my5xb,2019-02-21,2.0,3.0,0.0,1.0,1.0,0.0,5.0,2.0
181my5xb,2019-02-22,2.0,3.0,0.0,,,0.0,,1.0
181my5xb,2019-02-23,2.0,3.0,0.0,3.0,3.0,0.0,9.0,1.0
181my5xb,2019-02-24,,,,3.0,3.0,,6.0,
181my5xb,2019-02-25,,,,1.0,1.0,,4.0,
181my5xb,2019-02-26,2.0,3.0,0.0,2.0,2.0,0.0,6.0,1.0
181my5xb,2019-02-27,2.0,3.0,0.0,,,0.0,,1.0
181my5xb,2019-02-28,2.0,3.0,0.0,2.0,2.0,0.0,6.0,1.0
181my5xb,2019-03-01,2.0,3.0,0.0,2.0,2.0,0.0,3.0,1.0
181my5xb,2019-03-02,,,,0.0,0.0,,0.0,
181my5xb,2019-03-03,2.0,2.0,0.0,2.0,2.0,0.0,,1.0
181my5xb,2019-03-04,2.0,1.0,0.0,,,0.0,6.0,
181my5xb,2019-03-05,2.0,3.0,0.0,2.0,2.0,0.0,3.0,1.0
181my5xb,2019-03-06,2.0,3.0,0.0,3.0,3.0,0.0,4.0,1.0
181my5xb,2019-03-07,2.0,3.0,0.0,,,0.0,,1.0
18hwpo5x,2019-02-14,2.0,3.0,1.0,,,1.0,,2.0
18hwpo5x,2019-02-15,2.0,3.0,0.0,2.0,2.0,0.0,3.0,1.0
18hwpo5x,2019-02-16,3.0,4.0,0.0,3.0,3.0,0.0,7.0,1.0
18hwpo5x,2019-02-17,3.0,3.0,0.0,1.0,1.0,0.0,1.0,1.0
18hwpo5x,2019-02-18,3.0,2.0,0.0,1.0,2.0,0.0,5.0,1.0
18hwpo5x,2019-02-19,2.0,2.0,0.0,1.0,2.0,0.0,5.0,2.0
18hwpo5x,2019-02-20,3.0,4.0,0.0,3.0,3.0,0.0,6.0,2.0
